employee_id,effective_date,change_type,old_job_level,new_job_level,old_department,new_department,old_sub_department,new_sub_department,old_job_title,new_job_title,old_manager_id,new_manager_id
EMP-0023,2022-08-23,Promotion,M1,M2,Engineering,Engineering,Infrastructure,Infrastructure,Engineering Manager,Senior Engineering Manager,EMP-002,EMP-002
EMP-0023,2022-08-23,Manager Change,M2,M2,Engineering,Engineering,Infrastructure,Infrastructure,Senior Engineering Manager,Senior Engineering Manager,EMP-002,EMP-014
EMP-0024,2020-02-10,Hire,,IC3,,Product,,Design,,Senior Product Designer,,EMP-019
EMP-0024,2021-10-27,Promotion,IC3,IC4,Product,Product,Design,Design,Senior Product Designer,Staff Product Designer,EMP-019,EMP-019
EMP-0024,2022-09-05,Manager Change,IC4,IC4,Product,Product,Design,Design,Staff Product Designer,Staff Product Designer,EMP-019,EMP-0035
EMP-0024,2023-07-14,Promotion,IC4,IC5,Product,Product,Design,Design,Staff Product Designer,Principal Product Designer,EMP-0035,EMP-0035
EMP-0025,2020-01-16,Hire,,M1,,People,,DEIB,,M1 DEIB,,EMP-019
EMP-0025,2022-08-23,Lateral Transfer,M1,M1,People,People,DEIB,HRBPs,M1 DEIB,HRBP Manager,EMP-019,EMP-019
EMP-0025,2022-08-23,Manager Change,M1,M1,People,People,HRBPs,HRBPs,HRBP Manager,HRBP Manager,EMP-019,EMP-0043
EMP-0026,2020-01-16,Hire,,M1,,Sales,,Account Executive,,Sales Manager,,EMP-019
EMP-0026,2022-08-23,Promotion,M1,M2,Sales,Sales,Account Executive,Account Executive,Sales Manager,Senior Sales Manager,EMP-019,EMP-019
EMP-0026,2022-08-23,Manager Change,M2,M2,Sales,Sales,Account Executive,Account Executive,Senior Sales Manager,Senior Sales Manager,EMP-019,EMP-018
EMP-0027,2020-03-13,Hire,,IC3,,Engineering,,Infrastructure,,Senior Software Engineer,,EMP-0023
EMP-0027,2021-11-17,Promotion,IC3,IC4,Engineering,Engineering,Infrastructure,Infrastructure,Senior Software Engineer,Staff Software Engineer,EMP-0023,EMP-0023
EMP-0027,2022-09-21,Manager Change,IC4,IC4,Engineering,Engineering,Infrastructure,Infrastructure,Staff Software Engineer,Staff Software Engineer,EMP-0023,EMP-0130
EMP-0027,2023-07-25,Promotion,IC4,IC5,Engineering,Engineering,Infrastructure,Infrastructure,Staff Software Engineer,Principal Engineer,EMP-0130,EMP-0130
EMP-0028,2020-01-16,Hire,,M1,,Engineering,,Infrastructure,,Engineering Manager,,EMP-002
EMP-0028,2022-08-23,Promotion,M1,M2,Engineering,Engineering,Infrastructure,Infrastructure,Engineering Manager,Senior Engineering Manager,EMP-002,EMP-002
EMP-0028,2022-08-23,Lateral Transfer,M2,M2,Engineering,Engineering,Infrastructure,Platform,Senior Engineering Manager,Senior Engineering Manager,EMP-002,EMP-002
EMP-0028,2022-08-23,Manager Change,M2,M2,Engineering,Engineering,Platform,Platform,Senior Engineering Manager,Senior Engineering Manager,EMP-002,EMP-013
EMP-0029,2021-02-14,Hire,,M1,,Engineering,,AI/ML,,Engineering Manager,,EMP-014
EMP-0029,2023-03-09,Manager Change,M1,M1,Engineering,Engineering,AI/ML,AI/ML,Engineering Manager,Engineering Manager,EMP-014,EMP-0045
EMP-003,2022-02-01,Hire,,M5,,Sales,,(CRO),,CRO,,EMP-001
EMP-0030,2021-03-27,Hire,,M1,,Sales,,SDR,,SDR Manager,,EMP-0026
EMP-0031,2021-04-07,Hire,,IC3,,G&A,,Facilities,,Senior Facilities Specialist,,EMP-0025
EMP-0031,2023-04-04,Promotion,IC3,IC4,G&A,G&A,Facilities,Facilities,Senior Facilities Specialist,Staff Facilities Specialist,EMP-0025,EMP-0025
EMP-0031,2023-04-04,Lateral Transfer,IC4,IC4,G&A,G&A,Facilities,Finance,Staff Facilities Specialist,Staff Financial Analyst,EMP-0025,EMP-0025
EMP-0031,2023-04-04,Manager Change,IC4,IC4,G&A,G&A,Finance,Finance,Staff Financial Analyst,Staff Financial Analyst,EMP-0025,EMP-0153
EMP-0032,2021-03-16,Hire,,IC4,,Engineering,,Data,,Staff Data Engineer,,EMP-0036
EMP-0032,2023-03-24,Manager Change,IC4,IC4,Engineering,Engineering,Data,Data,Staff Data Engineer,Staff Data Engineer,EMP-0036,EMP-0181
EMP-0033,2021-01-25,Hire,,IC4,,Engineering,,Platform,,Staff Software Engineer,,EMP-0023
EMP-0033,2023-02-27,Promotion,IC4,IC5,Engineering,Engineering,Platform,Platform,Staff Software Engineer,Principal Engineer,EMP-0023,EMP-0023
EMP-0033,2023-02-27,Manager Change,IC5,IC5,Engineering,Engineering,Platform,Platform,Principal Engineer,Principal Engineer,EMP-0023,EMP-0124
EMP-0034,2021-05-21,Hire,,IC4,,Engineering,,Data,,Staff Data Engineer,,EMP-0134
EMP-0034,2023-04-26,Promotion,IC4,M1,Engineering,Engineering,Data,Data,Staff Data Engineer,Engineering Manager,EMP-0134,EMP-0134
EMP-0035,2021-04-13,Hire,,IC3,,Product,,Design,,Senior Product Designer,,EMP-019
EMP-0035,2023-04-07,Promotion,IC3,M1,Product,Product,Design,Design,Senior Product Designer,"Product Manager, Lead",EMP-019,EMP-019
EMP-0035,2023-04-07,Manager Change,M1,M1,Product,Product,Design,Design,"Product Manager, Lead","Product Manager, Lead",EMP-019,EMP-0155
EMP-0036,2021-01-15,Hire,,M1,,Engineering,,Data,,Engineering Manager,,EMP-013
EMP-0036,2023-02-22,Manager Change,M1,M1,Engineering,Engineering,Data,Data,Engineering Manager,Engineering Manager,EMP-013,EMP-0134
EMP-0037,2021-03-20,Hire,,IC4,,Customer Success,,Implementation,,Implementation Lead,,EMP-0022
EMP-0037,2023-03-26,Promotion,IC4,M1,Customer Success,Customer Success,Implementation,Implementation,Implementation Lead,CS Manager,EMP-0022,EMP-0022
EMP-0038,2021-04-24,Hire,,M1,,Sales,,Sales Engineering,,Sales Manager,,EMP-0041
EMP-0039,2021-05-08,Hire,,IC4,,Engineering,,Infrastructure,,Staff Software Engineer,,EMP-0023
EMP-0039,2023-04-19,Manager Change,IC4,IC4,Engineering,Engineering,Infrastructure,Infrastructure,Staff Software Engineer,Staff Software Engineer,EMP-0023,EMP-0130
EMP-004,2021-06-01,Hire,,M5,,G&A,,(CFO),,CFO,,EMP-001
EMP-0040,2021-05-24,Hire,,IC3,,Engineering,,Data,,Senior Data Engineer,,EMP-0034
EMP-0040,2023-04-27,Promotion,IC3,IC4,Engineering,Engineering,Data,Data,Senior Data Engineer,Staff Data Engineer,EMP-0034,EMP-0034
EMP-0041,2021-02-24,Hire,,IC3,,Sales,,Sales Engineering,,Senior Sales Engineer,,EMP-0026
EMP-0041,2022-07-07,Promotion,IC3,M1,Sales,Sales,Sales Engineering,Sales Engineering,Senior Sales Engineer,Sales Manager,EMP-0026,EMP-0026
EMP-0041,2023-03-14,Lateral Transfer,M1,M1,Sales,Sales,Sales Engineering,Account Management,Sales Manager,Sales Manager,EMP-0026,EMP-0026
EMP-0041,2023-03-14,Manager Change,M1,M1,Sales,Sales,Account Management,Account Management,Sales Manager,Sales Manager,EMP-0026,EMP-018
EMP-0041,2023-11-18,Promotion,M1,M2,Sales,Sales,Account Management,Account Management,Sales Manager,Senior Sales Manager,EMP-018,EMP-018
EMP-0042,2021-05-29,Hire,,IC4,,Customer Success,,CSM,,Strategic CSM,,EMP-0139
EMP-0043,2021-06-30,Hire,,IC3,,People,,DEIB,,Senior DEIB Specialist,,EMP-015
EMP-0043,2022-09-29,Promotion,IC3,M1,People,People,DEIB,DEIB,Senior DEIB Specialist,M1 DEIB,EMP-015,EMP-015
EMP-0043,2023-12-30,Promotion,M1,M2,People,People,DEIB,DEIB,M1 DEIB,DEIB Manager,EMP-015,EMP-015
EMP-0044,2021-02-16,Hire,,M1,,Engineering,,AI/ML,,Engineering Manager,,EMP-013
EMP-0044,2023-03-10,Manager Change,M1,M1,Engineering,Engineering,AI/ML,AI/ML,Engineering Manager,Engineering Manager,EMP-013,EMP-0045
EMP-0045,2021-04-09,Hire,,IC4,,Engineering,,Infrastructure,,Staff Software Engineer,,EMP-014
EMP-0045,2022-08-06,Promotion,IC4,M1,Engineering,Engineering,Infrastructure,Infrastructure,Staff Software Engineer,Engineering Manager,EMP-014,EMP-014
EMP-0045,2023-04-05,Lateral Transfer,M1,M1,Engineering,Engineering,Infrastructure,AI/ML,Engineering Manager,Engineering Manager,EMP-014,EMP-014
EMP-0045,2023-12-03,Promotion,M1,M2,Engineering,Engineering,AI/ML,AI/ML,Engineering Manager,Senior Engineering Manager,EMP-014,EMP-014
EMP-0046,2021-05-27,Hire,,M1,,Marketing,,Product Marketing,,Marketing Manager,,EMP-015
EMP-0046,2023-04-29,Promotion,M1,M2,Marketing,Marketing,Product Marketing,Product Marketing,Marketing Manager,Senior Marketing Manager,EMP-015,EMP-015
EMP-0046,2023-04-29,Lateral Transfer,M2,M2,Marketing,Marketing,Product Marketing,Brand,Senior Marketing Manager,Senior Marketing Manager,EMP-015,EMP-015
EMP-0046,2023-04-29,Manager Change,M2,M2,Marketing,Marketing,Brand,Brand,Senior Marketing Manager,Senior Marketing Manager,EMP-015,EMP-011
EMP-0047,2022-08-29,Hire,,IC1,,Sales,,Account Management,,Junior Account Manager,,EMP-0186
EMP-0048,2021-08-19,Hire,,IC3,,Marketing,,Product Marketing,,Senior Product Marketing Manager,,EMP-0046
EMP-0048,2022-06-01,Manager Change,IC3,IC3,Marketing,Marketing,Product Marketing,Product Marketing,Senior Product Marketing Manager,Senior Product Marketing Manager,EMP-0046,EMP-0164
EMP-0049,2022-11-26,Hire,,IC3,,Engineering,,Infrastructure,,Senior Software Engineer,,EMP-0130
EMP-005,2023-09-15,Hire,,M5,,Product,,(CPO),,Chief Product Officer,,EMP-001
EMP-0050,2022-01-24,Hire,,IC2,,Sales,,Account Executive,,Account Executive,,EMP-0146
EMP-0051,2021-10-24,Hire,,IC1,,Engineering,,Data,,Associate Software Engineer,,EMP-0036
EMP-0052,2022-05-06,Hire,,IC1,,Engineering,,AI/ML,,Associate Software Engineer,,EMP-0185
EMP-0053,2022-02-06,Hire,,IC2,,Sales,,Sales Engineering,,Sales Engineer,,EMP-0038
EMP-0054,2021-10-20,Hire,,IC1,,Marketing,,Content,,Marketing Coordinator,,EMP-0046
EMP-0054,2022-06-16,Manager Change,IC1,IC1,Marketing,Marketing,Content,Content,Marketing Coordinator,Marketing Coordinator,EMP-0046,EMP-0156
EMP-0055,2021-09-16,Hire,,IC1,,Marketing,,Growth,,Marketing Coordinator,,EMP-0046
EMP-0055,2022-06-11,Manager Change,IC1,IC1,Marketing,Marketing,Growth,Growth,Marketing Coordinator,Marketing Coordinator,EMP-0046,EMP-0170
EMP-0056,2022-07-05,Hire,,IC3,,Sales,,Sales Engineering,,Senior Sales Engineer,,EMP-0038
EMP-0057,2021-05-04,Hire,,IC2,,Sales,,Sales Engineering,,Sales Engineer,,EMP-0038
EMP-0058,2022-05-25,Hire,,IC2,,Engineering,,Data,,Software Engineer,,EMP-0162
EMP-0059,2021-09-05,Hire,,IC3,,Sales,,Sales Engineering,,Senior Sales Engineer,,EMP-0038
EMP-006,2023-10-01,Hire,,M5,,People,,(CPO),,Chief People Officer,,EMP-001
EMP-0060,2021-08-30,Hire,,IC3,,Sales,,Sales Engineering,,Senior Sales Engineer,,EMP-0038
EMP-0061,2022-07-08,Hire,,IC3,,Engineering,,Platform,,Senior Software Engineer,,EMP-0165
EMP-0062,2021-06-19,Hire,,IC3,,G&A,,Finance,,Senior Financial Analyst,,EMP-004
EMP-0062,2022-04-21,Manager Change,IC3,IC3,G&A,G&A,Finance,Finance,Senior Financial Analyst,Senior Financial Analyst,EMP-004,EMP-0153
EMP-0063,2022-08-25,Hire,,IC2,,Engineering,,Infrastructure,,Software Engineer,,EMP-0176
EMP-0064,2021-08-30,Hire,,IC2,,People,,Recruiting,,Recruiter,,EMP-0025
EMP-0064,2022-05-22,Manager Change,IC2,IC2,People,People,Recruiting,Recruiting,Recruiter,Recruiter,EMP-0025,EMP-0157
EMP-0065,2021-05-10,Hire,,IC3,,Sales,,Account Executive,,Senior Account Executive,,EMP-0026
EMP-0065,2022-03-30,Manager Change,IC3,IC3,Sales,Sales,Account Executive,Account Executive,Senior Account Executive,Senior Account Executive,EMP-0026,EMP-0147
EMP-0066,2022-04-22,Hire,,IC1,,G&A,,Legal,,Legal Coordinator,,EMP-012
EMP-0066,2022-09-03,Manager Change,IC1,IC1,G&A,G&A,Legal,Legal,Legal Coordinator,Legal Coordinator,EMP-012,EMP-0179
EMP-0067,2021-11-11,Hire,,IC3,,Sales,,SDR,,Staff SDR,,EMP-0030
EMP-0067,2022-06-22,Manager Change,IC3,IC3,Sales,Sales,SDR,SDR,Staff SDR,Staff SDR,EMP-0030,EMP-0143
EMP-0068,2021-04-09,Hire,,IC1,,Customer Success,,Implementation,,Junior Implementation Specialist,,EMP-0037
EMP-0069,2021-09-15,Hire,,IC1,,G&A,,Facilities,,Office Coordinator,,EMP-012
EMP-0069,2022-05-24,Manager Change,IC1,IC1,G&A,G&A,Facilities,Facilities,Office Coordinator,Office Coordinator,EMP-012,EMP-0153
EMP-007,2020-06-01,Hire,,M4,,Engineering,,Platform,,"VP Engineering, Platform",,EMP-002
EMP-0070,2022-10-01,Hire,,IC1,,Sales,,SDR,,Sales Development Representative,,EMP-0030
EMP-0071,2021-10-25,Hire,,IC1,,Sales,,SDR,,Sales Development Representative,,EMP-0030
EMP-0071,2022-06-22,Manager Change,IC1,IC1,Sales,Sales,SDR,SDR,Sales Development Representative,Sales Development Representative,EMP-0030,EMP-0143
EMP-0072,2022-02-03,Hire,,IC3,,Sales,,Account Executive,,Senior Account Executive,,EMP-0169
EMP-0073,2022-08-08,Hire,,IC3,,Sales,,Sales Engineering,,Senior Sales Engineer,,EMP-0038
EMP-0074,2021-10-25,Hire,,IC1,,Engineering,,AI/ML,,Associate Software Engineer,,EMP-0185
EMP-0075,2022-02-24,Hire,,IC2,,Sales,,SDR,,Senior SDR,,EMP-0143
EMP-0076,2022-09-30,Hire,,IC2,,G&A,,Legal,,Paralegal,,EMP-0179
EMP-0077,2021-03-05,Hire,,IC3,,Engineering,,Data,,Senior Data Engineer,,EMP-0036
EMP-0077,2022-03-03,Manager Change,IC3,IC3,Engineering,Engineering,Data,Data,Senior Data Engineer,Senior Data Engineer,EMP-0036,EMP-0034
EMP-0078,2021-04-18,Hire,,IC3,,G&A,,Facilities,,Senior Facilities Specialist,,EMP-0044
EMP-0078,2022-03-23,Manager Change,IC3,IC3,G&A,G&A,Facilities,Facilities,Senior Facilities Specialist,Senior Facilities Specialist,EMP-0044,EMP-0126
EMP-0079,2022-05-18,Hire,,IC3,,Sales,,SDR,,Staff SDR,,EMP-0030
EMP-008,2021-03-01,Hire,,M4,,Engineering,,AI/ML,,"VP Engineering, AI/ML",,EMP-002
EMP-0080,2022-07-27,Hire,,IC1,,Engineering,,Platform,,Associate Software Engineer,,EMP-0142
EMP-0081,2022-07-23,Hire,,IC3,,Sales,,Account Executive,,Senior Account Executive,,EMP-0169
EMP-0082,2022-11-04,Hire,,IC1,,Engineering,,AI/ML,,Associate Software Engineer,,EMP-0044
EMP-0083,2021-11-23,Hire,,IC3,,People,,Total Rewards,,Senior Compensation Analyst,,EMP-0025
EMP-0084,2022-03-23,Hire,,IC3,,Customer Success,,Support,,Staff Support Specialist,,EMP-0125
EMP-0085,2022-09-24,Hire,,IC3,,G&A,,Legal,,Corporate Counsel,,EMP-0179
EMP-0086,2021-12-08,Hire,,IC2,,G&A,,IT,,Systems Administrator,,EMP-012
EMP-0086,2022-07-13,Manager Change,IC2,IC2,G&A,G&A,IT,IT,Systems Administrator,Systems Administrator,EMP-012,EMP-0126
EMP-0087,2022-07-23,Hire,,IC1,,Sales,,SDR,,Sales Development Representative,,EMP-0030
EMP-0088,2022-08-09,Hire,,IC2,,G&A,,IT,,Systems Administrator,,EMP-0126
EMP-0089,2022-11-15,Hire,,IC2,,People,,People Ops,,People Operations Specialist,,EMP-0178
EMP-009,2022-04-01,Hire,,M4,,Sales,,(VP Sales),,VP Sales,,EMP-003
EMP-0090,2022-08-24,Hire,,IC1,,Engineering,,Data,,Associate Software Engineer,,EMP-0162
EMP-0091,2022-06-16,Hire,,IC1,,Sales,,Account Management,,Junior Account Manager,,EMP-0182
EMP-0092,2021-09-15,Hire,,IC2,,Engineering,,Data,,Software Engineer,,EMP-0034
EMP-0093,2022-12-23,Hire,,IC1,,Engineering,,Data,,Associate Software Engineer,,EMP-0181
EMP-0094,2021-10-22,Hire,,IC3,,People,,Recruiting,,Senior Recruiter,,EMP-0157
EMP-0095,2021-04-15,Hire,,IC1,,Marketing,,Product Marketing,,Marketing Coordinator,,EMP-0022
EMP-0095,2022-03-01,Manager Change,IC1,IC1,Marketing,Marketing,Product Marketing,Product Marketing,Marketing Coordinator,Marketing Coordinator,EMP-0022,EMP-0164
EMP-0096,2021-10-08,Hire,,IC2,,Customer Success,,Implementation,,Implementation Specialist,,EMP-0037
EMP-0097,2021-05-20,Hire,,IC1,,Engineering,,Platform,,Associate Software Engineer,,EMP-0028
EMP-0097,2022-04-08,Manager Change,IC1,IC1,Engineering,Engineering,Platform,Platform,Associate Software Engineer,Associate Software Engineer,EMP-0028,EMP-0142
EMP-0098,2021-09-10,Hire,,IC1,,Engineering,,AI/ML,,Associate Software Engineer,,EMP-0044
EMP-0099,2022-03-28,Hire,,IC1,,Sales,,Account Management,,Junior Account Manager,,EMP-0038
EMP-0099,2022-09-12,Manager Change,IC1,IC1,Sales,Sales,Account Management,Account Management,Junior Account Manager,Junior Account Manager,EMP-0038,EMP-0182
EMP-010,2021-09-01,Hire,,M4,,Customer Success,,(VP CS),,VP Customer Success,,EMP-003
EMP-0100,2021-07-08,Hire,,IC2,,Sales,,SDR,,Senior SDR,,EMP-0030
EMP-0100,2022-04-23,Manager Change,IC2,IC2,Sales,Sales,SDR,SDR,Senior SDR,Senior SDR,EMP-0030,EMP-0143
EMP-0101,2021-12-07,Hire,,IC2,,G&A,,Legal,,Paralegal,,EMP-012
EMP-0101,2022-07-07,Manager Change,IC2,IC2,G&A,G&A,Legal,Legal,Paralegal,Paralegal,EMP-012,EMP-0179
EMP-0102,2022-06-14,Hire,,IC2,,G&A,,Legal,,Paralegal,,EMP-0179
EMP-0103,2022-11-20,Hire,,IC1,,Sales,,Account Management,,Junior Account Manager,,EMP-0186
EMP-0104,2022-03-08,Hire,,IC2,,Sales,,Sales Engineering,,Sales Engineer,,EMP-0038
EMP-0105,2022-07-11,Hire,,IC2,,Engineering,,Data,,Software Engineer,,EMP-0036
EMP-0106,2021-07-10,Hire,,IC3,,G&A,,Facilities,,Senior Facilities Specialist,,EMP-004
EMP-0106,2022-04-27,Manager Change,IC3,IC3,G&A,G&A,Facilities,Facilities,Senior Facilities Specialist,Senior Facilities Specialist,EMP-004,EMP-0179
EMP-0107,2022-05-05,Hire,,IC2,,Marketing,,Growth,,Growth Marketing Manager,,EMP-0170
EMP-0108,2021-10-22,Hire,,IC3,,People,,People Ops,,Senior People Operations Specialist,,EMP-0025
EMP-0108,2022-06-11,Manager Change,IC3,IC3,People,People,People Ops,People Ops,Senior People Operations Specialist,Senior People Operations Specialist,EMP-0025,EMP-0178
EMP-0109,2021-08-04,Hire,,IC3,,Engineering,,Platform,,Senior Software Engineer,,EMP-0029
EMP-0109,2022-05-10,Manager Change,IC3,IC3,Engineering,Engineering,Platform,Platform,Senior Software Engineer,Senior Software Engineer,EMP-0029,EMP-0124
EMP-011,2021-07-01,Hire,,M4,,Marketing,,(VP Mktg),,VP Marketing,,EMP-001
EMP-0110,2021-08-26,Hire,,IC3,,Engineering,,Infrastructure,,Senior Software Engineer,,EMP-0028
EMP-0110,2022-05-16,Manager Change,IC3,IC3,Engineering,Engineering,Infrastructure,Infrastructure,Senior Software Engineer,Senior Software Engineer,EMP-0028,EMP-0130
EMP-0111,2022-01-22,Hire,,IC1,,Marketing,,Content,,Marketing Coordinator,,EMP-0156
EMP-0112,2022-05-21,Hire,,IC2,,Engineering,,AI/ML,,Software Engineer,,EMP-0185
EMP-0113,2021-07-07,Hire,,IC1,,Customer Success,,Implementation,,Junior Implementation Specialist,,EMP-0037
EMP-0114,2021-06-22,Hire,,IC1,,Sales,,Account Executive,,Junior Account Executive,,EMP-0026
EMP-0114,2022-04-11,Manager Change,IC1,IC1,Sales,Sales,Account Executive,Account Executive,Junior Account Executive,Junior Account Executive,EMP-0026,EMP-0169
EMP-0115,2021-12-06,Hire,,IC2,,Engineering,,Platform,,Software Engineer,,EMP-0142
EMP-0116,2022-04-22,Hire,,IC2,,G&A,,Legal,,Paralegal,,EMP-012
EMP-0116,2022-09-20,Manager Change,IC2,IC2,G&A,G&A,Legal,Legal,Paralegal,Paralegal,EMP-012,EMP-0179
EMP-0117,2021-03-11,Hire,,IC1,,Marketing,,Brand,,Marketing Coordinator,,EMP-0022
EMP-0117,2022-02-15,Manager Change,IC1,IC1,Marketing,Marketing,Brand,Brand,Marketing Coordinator,Marketing Coordinator,EMP-0022,EMP-0164
EMP-0118,2021-12-08,Hire,,IC3,,Marketing,,Brand,,Senior Brand Manager,,EMP-0170
EMP-0119,2021-08-21,Hire,,IC2,,Customer Success,,Support,,Senior Support Specialist,,EMP-0125
EMP-012,2021-08-01,Hire,,M4,,G&A,,Finance,,VP Finance,,EMP-004
EMP-0120,2022-02-21,Hire,,IC1,,Sales,,Account Executive,,Junior Account Executive,,EMP-0147
EMP-0121,2022-06-15,Hire,,IC1,,Sales,,Sales Engineering,,Junior Sales Engineer,,EMP-0038
EMP-0122,2022-03-27,Hire,,IC2,,People,,People Ops,,People Operations Specialist,,EMP-0178
EMP-0122,2023-09-28,Promotion,IC2,IC3,People,People,People Ops,People Ops,People Operations Specialist,Senior People Operations Specialist,EMP-0178,EMP-0178
EMP-0123,2021-11-28,Hire,,IC2,,Customer Success,,Implementation,,Implementation Specialist,,EMP-0139
EMP-0123,2023-07-30,Lateral Transfer,IC2,IC2,Customer Success,Customer Success,Implementation,CSM,Implementation Specialist,Customer Success Manager,EMP-0139,EMP-0139
EMP-0124,2021-08-21,Hire,,IC3,,Engineering,,AI/ML,,Senior ML Engineer,,EMP-0028
EMP-0124,2023-06-11,Promotion,IC3,M1,Engineering,Engineering,AI/ML,AI/ML,Senior ML Engineer,Engineering Manager,EMP-0028,EMP-0028
EMP-0124,2023-06-11,Lateral Transfer,M1,M1,Engineering,Engineering,AI/ML,Platform,Engineering Manager,Engineering Manager,EMP-0028,EMP-0028
EMP-0125,2021-08-07,Hire,,IC3,,Customer Success,,Implementation,,Senior Implementation Specialist,,EMP-0022
EMP-0125,2023-06-04,Promotion,IC3,M1,Customer Success,Customer Success,Implementation,Implementation,Senior Implementation Specialist,CS Manager,EMP-0022,EMP-0022
EMP-0125,2023-06-04,Lateral Transfer,M1,M1,Customer Success,Customer Success,Implementation,Support,CS Manager,CS Manager,EMP-0022,EMP-0022
EMP-0126,2022-04-06,Hire,,IC3,,G&A,,IT,,Senior Systems Administrator,,EMP-0291
EMP-0126,2023-10-03,Promotion,IC3,M1,G&A,G&A,IT,IT,Senior Systems Administrator,IT Manager,EMP-0291,EMP-0291
EMP-0127,2022-01-23,Hire,,IC3,,Product,,Product Management,,Senior Product Manager,,EMP-0155
EMP-0127,2023-08-27,Promotion,IC3,M1,Product,Product,Product Management,Product Management,Senior Product Manager,"Product Manager, Lead",EMP-0155,EMP-0155
EMP-0127,2023-08-27,Lateral Transfer,M1,M1,Product,Product,Product Management,UX Research,"Product Manager, Lead","Product Manager, Lead",EMP-0155,EMP-0155
EMP-0128,2022-12-20,Hire,,IC2,,Engineering,,AI/ML,,Software Engineer,,EMP-0029
EMP-0128,2024-02-09,Promotion,IC2,IC3,Engineering,Engineering,AI/ML,AI/ML,Software Engineer,Senior ML Engineer,EMP-0029,EMP-0029
EMP-0129,2022-07-11,Hire,,IC2,,Engineering,,Infrastructure,,Software Engineer,,EMP-0124
EMP-0129,2023-11-20,Promotion,IC2,IC3,Engineering,Engineering,Infrastructure,Infrastructure,Software Engineer,Senior Software Engineer,EMP-0124,EMP-0124
EMP-0129,2023-11-20,Lateral Transfer,IC3,IC3,Engineering,Engineering,Infrastructure,Platform,Senior Software Engineer,Senior Software Engineer,EMP-0124,EMP-0124
EMP-013,2021-01-15,Hire,,M3,,Engineering,,Data,,"Director of Engineering, Data",,EMP-002
EMP-0130,2021-11-03,Hire,,IC3,,Engineering,,Data,,Senior Data Engineer,,EMP-0023
EMP-0130,2023-07-18,Promotion,IC3,M1,Engineering,Engineering,Data,Data,Senior Data Engineer,Engineering Manager,EMP-0023,EMP-0023
EMP-0130,2023-07-18,Lateral Transfer,M1,M1,Engineering,Engineering,Data,Infrastructure,Engineering Manager,Engineering Manager,EMP-0023,EMP-0023
EMP-0131,2022-12-17,Hire,,IC2,,Sales,,Sales Engineering,,Sales Engineer,,EMP-0038
EMP-0132,2022-06-05,Hire,,IC2,,Customer Success,,Implementation,,Implementation Specialist,,EMP-0037
EMP-0133,2022-03-10,Hire,,IC3,,Engineering,,AI/ML,,Senior ML Engineer,,EMP-0044
EMP-0133,2023-03-17,Promotion,IC3,IC4,Engineering,Engineering,AI/ML,AI/ML,Senior ML Engineer,Staff ML Engineer,EMP-0044,EMP-0044
EMP-0133,2024-03-23,Promotion,IC4,IC5,Engineering,Engineering,AI/ML,AI/ML,Staff ML Engineer,Principal ML Engineer,EMP-0044,EMP-0044
EMP-0134,2021-02-26,Hire,,IC3,,Engineering,,Data,,Senior Data Engineer,,EMP-013
EMP-0134,2022-07-09,Promotion,IC3,M1,Engineering,Engineering,Data,Data,Senior Data Engineer,Engineering Manager,EMP-013,EMP-013
